block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
C ,B ,25,C ,LVTR1 ,8,2,,,,
C ,B ,25,D ,LVTR1 ,7,16,,,,
C ,B ,26,C ,IH ,5,5,12.2,5.2,Y ,
C ,B ,26,D ,DPR ,3,10,,,,
C ,B ,27,C ,DPR ,4,10,,,,
C ,B ,27,D ,DPR ,6,16,,,,
C ,B ,28,C ,BH ,4,5,8.4,5.6,Y ,
C ,B ,28,D ,SQ1 ,2,2,,,,
C ,B ,29,C ,WL2 ,8,11,,,,
C ,B ,29,D ,LV3 ,7,5,,,,
C ,B ,30,C ,CC ,4,5,,,,
C ,B ,30,D ,SQ2 ,1,4,,,,
C ,B ,31,C ,CP2 ,6,11,,,,
C ,B ,31,D ,CP3 ,4,11,1.8,,Y,bare stem 
C ,B ,32,C ,SQ2 ,6,19,,,,
C ,B ,32,D ,YO11 ,5,11,- ,,,
C ,B ,33,C ,YO7 ,6,1,,,,
C ,B ,33,D ,YO4 ,1,1,1.3,,Y,bare stem 
C ,B ,34,C ,YO8 ,5,5,,,,
C ,B ,34,D ,SC ,5,16,,,,
C ,B ,35,C ,CP2 ,1,3,,,,
C ,B ,35,D ,DPR ,6,4,,,,
C ,B ,36,C ,YO8 ,1,1,,,,
C ,B ,36,D ,TM2 ,1,4,26.7,2.1,Y,
C ,B ,37,C ,LVTR1 ,4,1,,,,
C ,B ,37,D ,WL2 ,3,11,,,,
C ,B ,38,C ,LVTR1 ,7,3,,,,
C ,B ,38,D ,LVTR1 ,8,6,,,,
C ,B ,39,C ,CP2 ,2,3,,,,
C ,B ,39,D ,YO4 ,2,6,,,,
C ,B ,40,C ,CC ,3,5,,,,
C ,B ,40,D ,BH ,3,5,,,,
C ,B ,41,C ,YO7 ,7,1,1.9,0.7,Y ,
C ,B ,41,D ,IH ,2,5,,,,
C ,B ,42,C ,LV1 ,3,4,,,,
C ,B ,42,D ,YO8 ,3,1,,,,
C ,B ,43,C ,YO11 ,6,11,,,,
C ,B ,43,D ,TM2 ,7,10,36.5,2.4,Y ,
C ,B ,44,C ,SQ3 ,4,11,,,,
C ,B ,44,D ,IH ,7,5,,,,
C ,B ,45,C ,WL2 ,1,11,5.8,1.6,Y ,
C ,B ,45,D ,CP3 ,1,10,,,,
C ,B ,46,C ,SC ,6,5,11.4,4.7,Y ,top eaten 
C ,B ,46,D ,BH ,1,5,,,,
C ,B ,47,C ,YO7 ,4,6,4.2,2,Y ,
C ,B ,47,D ,BH ,7,5,11.3,5.8,Y,
C ,B ,48,C ,LVTR1 ,5,13,,,,
C ,B ,48,D ,IH ,1,5,9.2,3,Y,
C ,B ,49,C ,YO7 ,5,17,2,0.6,Y,
C ,B ,49,D ,YO7 ,7,19,,,,
C ,B ,50,C ,SQ2 ,6,11,,,,
C ,B ,50,D ,YO7 ,1,8,,,,
C ,B ,51,C ,CP3 ,3,11,,,,
C ,B ,51,D ,LV1 ,4,4,,,,
C ,B ,52,C ,YO4 ,4,9,,,,
C ,B ,52,D ,SQ2 ,13,13,,,,
C ,B ,53,C ,WL1* ,buffer ,buffer ,,,,
C ,B ,53,D ,WL1* ,buffer ,buffer ,,,,
C ,B ,54,C ,NA ,NA ,NA ,,,,
C ,B ,54,D ,NA ,NA ,NA ,,,,
B ,B ,55,C ,WL1* ,buffer ,buffer ,,,,
B ,B ,55,D ,WL1* ,buffer ,buffer ,,,,
B ,B ,56,C ,TM2 ,1,3,22.2,5.5,Y,
B ,B ,56,D ,SQ1 ,2,1,2.4,,Y,bare stem 
B ,B ,57,C ,LVTR1 ,8,19,,,,
B ,B ,57,D ,BH ,2,4,8.3,6.3,Y,
B ,B ,58,C ,YO7 ,3,4,,,,
B ,B ,58,D ,WL2 ,6,10,,,,
B ,B ,59,C ,IH ,5,4,,,,
B ,B ,59,D ,SC ,2,21,,,,
B ,B ,60,C ,WL1* ,,bufferbuffer ,,,,
